store,sku,name,mpn,ean,model
admin,KB/DELL/E1037B_X,Dell Precision M65/M2300/M4300 UK ENGLISH Laptop Keyboard - 0UC162,UC162,,
admin,KB/DELL/E1038_X,Dell Alienware M14x R1/R2 UK ENGLISH Laptop Keyboard with AlienFX LED - 0J90CY,J90CY,,
admin,KB/DELL/E1038B_X,Dell Alienware M14x R1/R2 UK ENGLISH Laptop Keyboard with AlienFX LED - 04GFYR,4GFYR,,
admin,KB/DELL/E1039_X,Dell Latitude D420/D430 UK ENGLISH Laptop Keyboard - 0MH144,MH144,,
admin,KB/DELL/E1040_X,Dell Latitude D520/D530 UK ENGLISH Laptop Keyboard - 0RF095,RF095,,
admin,KB/DELL/E1041_X,Dell Vostro 1320/1520 UK ENGLISH Laptop Keyboard - 0Y876J,Y876J,,
admin,KB/DELL/E1042_X,Dell XPS 13-L321x/L322x UK ENGLISH WIN8/10 Laptop Backlit Keyboard - 0YJTP8,YJTP8,,
admin,KB/DELL/E1042B_X,Dell XPS 13-L321x/L322x UK ENGLISH Laptop Backlit Keyboard - 00TG9R,0TG9R,,
admin,KB/DELL/E1043_X,Dell XPS 9370/9380/7390 UK ENGLISH Backlit Keyboard BLACK - 082FHM,82FHM,,
admin,KB/DELL/E1044_X,Dell Inspiron 13-5368/5370/5378/5379 UK ENGLISH Laptop Keyboard - 0PVDPC,PVDPC,,
admin,KB/DELL/E1045_X,Dell Latitude 13-7370 UK ENGLISH Backlit Laptop Keyboard - 08T5PP,8T5PP,,
admin,KB/DELL/E1046C_X,Dell Alienware 13-R3 & 15-R3/R4 UK ENGLISH Keyboard with AlienFX LED - 0K4P1K,K4P1K,,
admin,KB/DELL/E1047_X,Dell Chromebook 11/13 3180/3189/3380 UK ENGLISH Laptop Keyboard - 0G2HT5,G2HT5,,
admin,KB/DELL/E1048_X,Dell Inspiron 14-3441/3442/3443 UK ENGLISH Backlit Keyboard - 0X5H9F,X5H9F,,
admin,KB/DELL/E1049_X,Dell Latitude 3180/3189/3190/3380 UK ENGLISH Keyboard - 0X98D4,X98D4,,
admin,KB/DELL/E1050_X,Dell Inspiron 14-3441/3442/3443 UK ENGLISH Keyboard - 03M66J,3M66J,,
